Rank1;Ordinal1;Functional1;gaussian1;categorical1;poisson1
4, 3, 2, 1;3;15.8218486700207:3.64537430626224,48.9448602194898:9.58191879450307,7.38142891786993:7.04608617368673,14.4723046687432:4.18874680066006,8.59992660116404:6.56727101088173,42.1842330601066:6.87511444390839,43.7413177452981:7.51046747747874,44.7914141463116:7.91192543794857,37.8856421099044:5.16271186471136,14.0377901145257:4.38221952648998,5.09399462025613:7.95520758136921,36.5683872834779:4.61876959882602,33.1787248142064:3.27550073825745,41.8039951939136:6.73499534765133,25.862653425429:0.332776553690437,34.3997783493251:3.75646225440765,9.6758235595189:6.13466102507649,3.38313729735091:8.65324468649579,8.98038140730932:6.41654355284664,6.507277127821:7.4067797089299;-0.158647210060808;2;8
4, 2, 3, 1;4;1.52149727800861:9.3966882389019,5.09704244323075:7.97430959394079,7.16481939889491:7.13421266736164,28.789876261726:1.5219439029967,28.1375755905174:1.24639644548887,30.8531060582027:2.33266735596236,9.12821890087798:6.34397353624757,34.6642673830502:3.86486642826481,34.343263192568:3.74125626094003,11.7940284195356:5.26910120610502,42.0776035287417:6.81709567890136,33.7936423020437:3.51067343099195,48.1175280874595:9.23807501490925,38.1890447344631:5.2949184523987,41.5041990461759:6.59674850763309,38.7961966334842:5.5102728916995,34.2951555154286:3.70884008569005,43.5867792228237:7.43568122355529,35.6622405699454:4.26910695090186,9.81020440813154:6.0700187939594;-0.955537976154002;1;4
3, 2, 4, 1;4;40.2791229193099:6.1277394782338,4.80753033189103:8.08963282054695,8.57142950408161:6.56955614770738,30.5340902879834:2.21570805852758,2.64971150318161:8.94528276494904,13.4442692971788:4.64803498960284,24.2503170622513:0.300164665336722,42.7042791619897:7.0728252664951,49.0352558670565:9.61101421698323,37.7106727100909:5.0847100264058,37.0755930664018:4.83898775977736,46.2383870501071:8.48573050410654,23.5935261938721:0.571359954931976,20.3150458750315:1.87742123454637,14.5150614436716:4.21127661249914,26.442627212964:0.599609561916031,22.6017971988767:0.959056692835894,20.1340156956576:1.95360777981524,37.4485096195713:4.99080596392146,35.0762575282715:4.03257661541602;0.209129044530423;4;7
4, 2, 3, 1;4;4.61624190211296:8.16438940548971,49.2443137336522:9.70965020081256,47.7982848533429:9.13067656651304,44.2750668036751:7.69910516802911,9.57488171989098:6.16765194737275,24.5447945198976:0.186951928523291,10.680321790278:5.72925831749401,40.8389049116522:6.34113833017599,18.9670175430365:2.4069436805453,44.6292469394393:7.84594552468028,49.5139117003419:9.81160066173985,28.5723718814552:1.43589411134416,45.4884964390658:8.18221883281683,3.63516401266679:8.5397826988251,38.369297538884:5.33365640789343,14.031594293192:4.41238939529906,49.5214881375432:9.81292895014948,37.6360218971968:5.0461539549379,47.0233205705881:8.81392325987461,38.0615146248601:5.23111960362259;-0.448076277134754;1;9
4, 2, 3, 1;3;4.42394478013739:8.22032446337723,40.7278174883686:6.2904077488166,8.68268865160644:6.53066790260194,32.6570996199735:3.07470105168775,12.4667995143682:4.99543850734355,29.6946604154073:1.87470595646777,8.25751441298053:6.69286276077445,37.2880606912076:4.91823396038505,44.2306310869753:7.69369649189939,15.6306404387578:3.75896587362219,20.3969351598062:1.84521514119233,13.8389190426096:4.46408271931745,12.7198756788857:4.91625184634483,10.6601555715315:5.72302022934068,38.6693984386511:5.45427118491967,24.8817902989686:0.0278192182774279,41.4811476250179:6.59339491636743,22.4391036434099:1.017707975356,3.21945752948523:8.72578990302042,45.1425764593296:8.06638705929121;-0.321232969759242;4;1
4, 3, 2, 1;4;37.410504091531:4.96677767148262,28.4630359616131:1.3875507505779,39.5337777328677:5.80242444109618,39.5263202255592:5.81770520762508,38.6105746612884:5.43906148292648,49.4474173290655:9.76524172626489,7.766932353843:6.89602997583957,21.9639010727406:1.21126853191367,17.263725225348:3.09956321897582,36.3533762632869:4.53200638059711,5.75743017252535:7.68076017377564,45.8678129827604:8.34198668591151,39.8464049678296:5.94920171199689,13.455984799657:4.6150546575653,28.5647849552333:1.4312711335881,19.3343934835866:2.27234837111895,10.2797282161191:5.88026411412391,1.12393613671884:9.56268808927577,31.7988132010214:2.72817613965278,31.9937788299285:2.78176084898735;-1.35562933481815;3;?
4, 3, 2, 1;2;24.7162288753316:0.126077710980073,14.6026686066762:4.15392094705449,14.6141590783373:4.13615374806402,24.4911634363234:0.210861357006907,32.8604579088278:3.15444127454047,27.2777165751904:0.917239628598337,44.2111685755663:7.67467072776146,8.12773087527603:6.7551045664586,42.9689832264557:7.1768193591487,10.1276824017987:5.95065159218486,14.7709912620485:4.09272432948032,7.71450018510222:6.9137068492279,15.4555464629084:3.81511518913794,2.0847215084359:9.17047115862132,17.0434712083079:3.18662024566625,15.0123945786618:3.98983345667723,48.3902006177232:9.36158867691044,41.7898273328319:6.70092186117311,12.9684346378781:4.82124006116197,31.660893431399:2.65993840204425;0.282351916961702;?;7
4, 3, 1, 2;4;13.3822646923363:4.64743575962931,21.1499105556868:1.54188198023389,43.8192828209139:7.51283994988589,45.9080913453363:8.37218867000819,20.8201399538666:1.65961373992656,10.9493166906759:5.6034152049543,41.5028056828305:6.60177593971123,0.9110038401559:9.63026030946532,3.52063694735989:8.60404527306395,34.4473715522327:3.77370324259591,2.80306512722746:8.89479274668379,11.7515273741446:5.30221500922196,16.3549324963242:3.45772232841596,49.018242279999:9.60999086471226,43.6934652621858:7.4757438755556,37.9921645158902:5.21568422611211,30.2840630058199:2.10219964807508,30.1099728560075:2.04034487484227,24.5576001820154:0.177514391176246,35.666884877719:4.26498458138111;2.86112858690927;2;5
4, 2, 3, 1;4;30.669326253701:2.25681563809023,31.1662364983931:2.47842794808821,2.04939732793719:9.16068879656553,34.0724646113813:3.64895244492319,37.9817504552193:5.18641620819355,6.30371306324378:7.48699417535277,42.2335382550955:6.9004691063529,9.5830692560412:6.16835788810549,24.3435521260835:0.265640174028473,14.5575432106853:4.17399781646902,31.5784016042016:2.64149258457777,25.1460800995119:0.0576876960244685,35.22435920313:4.09315550255817,36.8535248213448:4.71423672033871,35.5252439039759:4.20369945134064,47.4509825464338:8.98884460424192,16.9702558312565:3.2088769011628,44.8941373964772:7.96221452318879,45.2233674935997:8.08514010289256,43.15417020116:7.24610862029867;-0.367950978349957;4;3
4, 1, 2, 3;1;14.8324634530582:5.93165390725512,9.81451793340966:3.91036160753079,12.7510986989364:5.09708757065801,36.2527930294164:5.48160867312956,22.0400033402257:8.80260671385793,39.2343141837046:4.28967294852708,13.0786377005279:5.22901115265337,35.3740368969738:5.85366161716952,43.4704309911467:2.61569243243813,46.619343967177:1.3513411657783,46.5517715667374:1.39123257181087,8.18916582502425:3.27321448083045,36.1418319051154:5.53080984724204,35.6643453473225:5.74082875825404,9.5895760692656:3.83250161399794,41.7405722197145:3.30392857677204,45.6185661372729:1.75498632708653,46.2756314664148:1.49630740276598,28.090535919182:8.75734870931794,46.0728303063661:1.58028822934108;1.1366691933131;3;11
4, 3, 2, 1;4;40.5150457285345:6.19048343505833,34.841934859287:3.92294372210362,44.2184321000241:7.70421775954735,27.3608008865267:0.946997358021287,48.2099219225347:9.27719550632744,27.563943201676:1.01754707431841,27.6420306414366:1.05621063895844,45.5126511980779:8.19556897906729,20.6102713942528:1.75696393401659,42.3640645458363:6.93362629329414,11.5558184916154:5.39135116276595,36.8405286455527:4.73168486013707,34.796373557765:3.91786750876198,2.17466173926368:9.1200202958094,40.6772488844581:6.28505616617365,33.8027580874041:3.52286338848483,32.0210149046034:2.8042366671955,25.9741140878759:0.387865545462104,9.51877384213731:6.19987756913789,21.0626477142796:1.56224531479835;-0.289307740845367;1;7
1, 2, 3, 4;1;12.28064855095:4.92036686851854,2.79139355989173:1.13206923729355,21.1347149102949:8.45328335438649,49.650250072591:0.15160996416128,17.1431565424427:6.85244206749949,48.4430716373026:0.627644292106119,37.7250680583529:4.92346648451215,37.1655442984775:5.13535919847756,10.9202356426977:4.36576927116703,32.9440484638326:6.82099449128046,10.7451639720239:4.29626285412915,0.34617556957528:0.126109937306963,9.20990033773705:3.66974209194223,13.0801772233099:5.21862301442557,12.3478734516539:4.94176869115703,28.4592413925566:8.61306425379462,49.3464503437281:0.273317776521866,32.6590808457695:6.93171646634266,16.6879136813805:6.68206552368294,0.732696522027254:0.316136635224756;0.324823232172984;2;5
2, 3, 4, 1;1;1.11206753645092:0.430280129630264,47.6227845181711:0.948490066367356,42.5021696370095:2.99569297793742,13.3168629487045:5.32639577114017,23.5984757775441:9.44490074597869,32.1955557796173:7.11945815256179,38.751022843644:4.50168560266869,45.2239770209417:1.91363209757176,42.8840072709136:2.85307953944222,12.6045802957378:5.03116254434744,27.0779543789104:9.14839340750413,42.1464277198538:3.15422178457775,45.7038979860954:1.72499571377691,7.63115091249347:3.0631067140976,17.3658214625902:6.94578656754792,20.8501138258725:8.33528657525488,35.6393988244236:5.74950732655271,20.3031028970145:8.11363568176168,25.4405599669553:9.82758761356705,10.1570905186236:4.05807692912792;-1.57925237965121;2;5
1, 2, 4, 3;2;40.0170739623718:3.98365718023582,41.1900711827911:3.53884840414411,2.90251636179164:1.16519569556575,15.4160508187488:6.17238805120299,41.1198887508363:3.54190321093738,0.711654638871551:0.288727890658589,5.40889211697504:2.17103349443856,31.7738863523118:7.29820875796217,12.0205329381861:4.80684024044894,5.68291161907837:2.2665708907582,25.0401736120693:9.99551473200664,2.96160542638972:1.18502153406677,1.18823044467717:0.456027740581098,25.7198974955827:9.72302030117067,4.49164946330711:1.79635388683084,0.971811206545681:0.377364333795153,36.3623895682395:5.46117058501948,44.5708755985834:2.18592326264061,24.4977014488541:9.80224433435226,26.0952046373859:9.55950552186418;-0.720625923779927;1;3
