poisson1;poisson2;poisson3
20;1;14
13;1;13
9;9;8
21;?;14
21;2;14
32;0;?
12;?;15
?;0;17
21;?;16
13;0;13
24;2;11
27;0;16
18;0;?
20;2;18
13;3;16
17;1;13
22;3;16
20;0;?
13;1;12
18;1;13
22;1;20
15;1;19
20;0;16
17;0;14
21;2;15
20;1;16
11;5;?
23;2;21
12;1;16
19;0;16
15;3;13
6;9;2
20;1;13
15;1;10
15;7;6
16;0;?
?;0;11
?;2;13
10;11;5
28;1;12
17;0;14
23;1;15
27;1;12
18;2;16
16;0;17
25;?;9
18;?;18
?;2;12
22;1;14
7;7;6
7;8;5
10;4;5
20;4;?
22;2;?
9;12;10
?;?;16
?;1;14
16;1;21
22;2;7
17;0;17
9;7;6
15;0;16
19;1;15
16;0;17
13;4;?
17;?;21
15;0;14
18;1;17
17;1;9
18;0;11
15;0;16
?;0;11
4;13;5
?;1;17
12;0;15
7;9;2
23;0;16
20;1;17
15;?;?
23;1;17
15;1;12
12;?;13
21;0;18
15;3;16
?;3;21
?;1;22
12;5;5
21;1;20
18;?;16
16;0;21
23;1;17
28;2;10
13;0;12
15;?;16
14;9;3
22;0;14
17;2;14
19;0;11
18;0;16
7;1;15
