poisson1;poisson2;poisson3
13;0;17
9;7;9
23;0;11
24;2;15
25;1;15
24;1;12
15;0;17
5;8;4
14;0;15
6;2;7
21;2;14
20;0;11
20;1;17
8;8;8
19;1;8
24;2;18
15;0;11
15;0;11
20;2;16
24;9;5
26;0;12
17;1;11
25;0;8
11;11;2
19;0;9
27;1;11
15;4;17
12;1;12
14;0;11
30;1;13
20;0;15
12;12;7
18;0;17
13;0;11
22;2;15
16;0;21
12;14;6
18;2;11
25;1;12
22;0;20
19;1;13
18;0;16
16;1;15
24;0;17
20;0;17
17;5;1
26;0;14
32;2;12
8;8;7
16;1;14
15;0;11
28;1;15
8;4;7
8;0;19
18;1;11
22;0;13
21;0;20
20;1;16
21;0;13
19;2;14
17;1;15
9;8;4
21;2;13
15;1;10
22;0;8
10;8;8
25;0;19
15;1;18
20;0;16
20;0;19
10;6;2
11;0;24
17;1;15
15;1;19
19;1;12
16;2;20
13;0;8
14;6;6
10;9;6
24;0;10
20;1;15
10;5;16
19;2;14
18;0;15
12;9;6
13;1;20
28;2;21
15;1;16
21;1;16
19;1;18
10;9;4
14;0;21
23;2;16
20;0;11
19;0;16
17;2;16
24;0;20
20;0;14
17;0;13
24;1;18
